Count of jobtitle,,
Row Labels,Total,probablity
"assistant, tobacconists shop",1,1.56311E-05
assisted father in greengrocery and mother in temp,1,1.56311E-05
assisted father in grocery/inn,1,1.56311E-05
assisting on father's farm,1,1.56311E-05
asst commissioner - indian civil service,1,1.56311E-05
asst company secretary (railway),1,1.56311E-05
asst dock superintendant,1,1.56311E-05
asst florist,1,1.56311E-05
asst in british museum,1,1.56311E-05
asst in dress making business,1,1.56311E-05
asst in dress shop,1,1.56311E-05
asst in general business (fathers business),1,1.56311E-05
asst in shop,1,1.56311E-05
asst inspector of taxes,1,1.56311E-05
asst parish overseer,1,1.56311E-05
asst school mistress,1,1.56311E-05
asst schoolmaster,1,1.56311E-05
asst schoolmistress,1,1.56311E-05
asst sewage works manager,1,1.56311E-05
assurance agent,4,6.25244E-05
assurance company secretary,1,1.56311E-05
assurance official,1,1.56311E-05
assurance rep,1,1.56311E-05
assurance superintendent,1,1.56311E-05
asylum attendant,2,3.12622E-05
asylum nurse,1,1.56311E-05
ats driver,1,1.56311E-05
ats private librarian assistant,1,1.56311E-05
attendant,1,1.56311E-05
attendant at asylum,1,1.56311E-05
attendant nurse in lunatic asylum,1,1.56311E-05
"attendant, mental hospital",3,4.68933E-05
attorney,5,7.81555E-05
attorney at law,2,3.12622E-05
attorney's clerk,1,1.56311E-05
attorneys clerk,6,9.37866E-05
auction rooms worker,1,1.56311E-05
auctioneer,24,0.000375147
auctioneer  & surveyor,1,1.56311E-05
auctioneer & estate agent,2,3.12622E-05
auctioneer & valuer,1,1.56311E-05
auctioneer and broker,1,1.56311E-05
auctioneer and valuer,2,3.12622E-05
auctioneer's clerk,2,3.12622E-05
auctioneers clerk,2,3.12622E-05
auctioneers porter,2,3.12622E-05
auctioneers valuer,2,3.12622E-05
audio typist,1,1.56311E-05
auditing clerk,1,1.56311E-05
auditor with chartered accountants,1,1.56311E-05
auger filer,2,3.12622E-05
auger finisher,1,1.56311E-05
auger maker,3,4.68933E-05
author,9,0.00014068
authoress,1,1.56311E-05
authorised clerk stock exchange,1,1.56311E-05
automotive mechanic apprentice,1,1.56311E-05
auxhilliary nurse,1,1.56311E-05
auxiliary nurse,1,1.56311E-05
awl blade maker,2,3.12622E-05
axletree maker,1,1.56311E-05
axminster setter,1,1.56311E-05
back maker,1,1.56311E-05
bacon factor,1,1.56311E-05
bag carrier to gas company,1,1.56311E-05
bag hosiery manufacturer,2,3.12622E-05
bailiff,32,0.000500195
bailiff & farmer,1,1.56311E-05
bailiff and gardener,1,1.56311E-05
bailiff of coal works,1,1.56311E-05
baker,465,0.007268464
baker (master),2,3.12622E-05
baker (shopkeeper),2,3.12622E-05
baker & confectioner,11,0.000171942
baker & flour dealer,1,1.56311E-05
baker & grocer,2,3.12622E-05
baker & provision dealer,1,1.56311E-05
baker and confectioner,24,0.000375147
baker and grocer,2,3.12622E-05
baker and pastry cook,1,1.56311E-05
baker shop assistant,2,3.12622E-05
"baker, grocer and tea dealer",1,1.56311E-05
"baker, shopkeeper, subpostmaster",1,1.56311E-05
baker's foreman,1,1.56311E-05
baker's shop assistant,1,1.56311E-05
baker's shopowner,1,1.56311E-05
baker/shopkeeper,1,1.56311E-05
bakeress,1,1.56311E-05
bakers and confectioners office worker,1,1.56311E-05
bakers assistant,4,6.25244E-05
bakers clerk,2,3.12622E-05
bakers deliverer,1,1.56311E-05
bakers foreman,1,1.56311E-05
bakers labourer,1,1.56311E-05
bakers roundsman,3,4.68933E-05
bakers shop assistant,2,3.12622E-05
bakery assistant,1,1.56311E-05
bakery asst,1,1.56311E-05
bakery saleswoman,1,1.56311E-05
bakery shop assistant,2,3.12622E-05
bakery shop manageress,1,1.56311E-05
ball furnace puddler,1,1.56311E-05
ball furnaceman,1,1.56311E-05
ball maker,1,1.56311E-05
baller in cotton mill,1,1.56311E-05
band spinner,2,3.12622E-05
bandmaster,1,1.56311E-05
bandsawyer,1,1.56311E-05
"bandsman, royal navy",1,1.56311E-05
bank accountant,3,4.68933E-05
bank agent,4,6.25244E-05
bank cashier,7,0.000109418
bank cler,1,1.56311E-05
bank clerk,89,0.001391168
bank clerk (bank of england),2,3.12622E-05
"bank clerk/cashier, comptometer operator",1,1.56311E-05
bank director,1,1.56311E-05
bank employee,1,1.56311E-05
bank guard,1,1.56311E-05
bank inspector,1,1.56311E-05
bank manager,23,0.000359515
"bank manager, insurance agent and part time clerk",1,1.56311E-05
bank night watchman,1,1.56311E-05
bank of england clerk,1,1.56311E-05
bank official,8,0.000125049
"bank official, branch inspector",1,1.56311E-05
bank partner,3,4.68933E-05
bank pay clerk,1,1.56311E-05
bank secretary,2,3.12622E-05
bank teller,1,1.56311E-05
bank worker,1,1.56311E-05
banker,15,0.000234467
banker mason,3,4.68933E-05
banker's clerk,1,1.56311E-05
bankerman at colliery,1,1.56311E-05
bankers clerk,2,3.12622E-05
banking,3,4.68933E-05
bankman,1,1.56311E-05
banks man,1,1.56311E-05
banksgirl,1,1.56311E-05
banksman,4,6.25244E-05
banksman (colliery),2,3.12622E-05
baptish preacher,1,1.56311E-05
baptist minister,30,0.000468933
baptist preacher,1,1.56311E-05
bar maid,9,0.00014068
bar woman,1,1.56311E-05
barber,10,0.000156311
barge and boat builder,1,1.56311E-05
barge builder,10,0.000156311
barge captain,1,1.56311E-05
barge owner,1,1.56311E-05
barge waterman,2,3.12622E-05
bargebuilder,1,1.56311E-05
bargee,1,1.56311E-05
bargeman,18,0.00028136
bargeman on docks,1,1.56311E-05
barhouse keeper,1,1.56311E-05
barmaid,32,0.000500195
barman,11,0.000171942
barometer maker,2,3.12622E-05
barrack master,1,1.56311E-05
barrister,19,0.000296991
barrister and attorney,1,1.56311E-05
barrister at law,3,4.68933E-05
"barrister at law, equity draftsman and conveyance",1,1.56311E-05
barrister-at-law,1,1.56311E-05
barristers clerk,3,4.68933E-05
bartender,1,1.56311E-05
basket and besom maker,1,1.56311E-05
basket and wicker furniture makers,1,1.56311E-05
basket maker,63,0.00098476
basket worker,2,3.12622E-05
basketmaker,3,4.68933E-05
bath attendant,1,1.56311E-05
bath chair maker,1,1.56311E-05
bath chair man,1,1.56311E-05
bathing machine keeper,1,1.56311E-05
bathing machine operator,1,1.56311E-05
bathman,1,1.56311E-05
baths and destructor engineer,1,1.56311E-05
batteryman,1,1.56311E-05
bayman,1,1.56311E-05
beach inspector,1,1.56311E-05
beachman (fisherman and lifeboatman),1,1.56311E-05
beachman (salvages) / fisherman,2,3.12622E-05
beadle,2,3.12622E-05
beadworker,1,1.56311E-05
"beamer, cotton mill",1,1.56311E-05
beastman,1,1.56311E-05
beater in papermaking industry,1,1.56311E-05
beatster,2,3.12622E-05
beatster (fishing net repairs),1,1.56311E-05
bed and breakfast owner,1,1.56311E-05
bed quilt manufacturer,1,1.56311E-05
bedding manufacturer,2,3.12622E-05
bedstead maker,7,0.000109418
bedstead manufacturer,1,1.56311E-05
beer house keeper,3,4.68933E-05
beer merchant,1,1.56311E-05
beer retailer,7,0.000109418
beer seller,5,7.81555E-05
beer seller (shopkeeper),1,1.56311E-05
beer shop keeper,2,3.12622E-05
beerhouse keeper,3,4.68933E-05
beerseller,5,7.81555E-05
beerseller and shopkeeper (grocers),1,1.56311E-05
beershop keeper,1,1.56311E-05
bell founder,2,3.12622E-05
bell foundry foreman,1,1.56311E-05
bell hanger,1,1.56311E-05
bell-hanger,1,1.56311E-05
bellows maker,1,1.56311E-05
bellows manufacturer,1,1.56311E-05
belt maker,1,1.56311E-05
berlin wool repository proprietor,1,1.56311E-05
berlin wool worker,1,1.56311E-05
bespoke bootmaker,1,1.56311E-05
bicycle material polisher (journeyman),1,1.56311E-05
big-piecer,1,1.56311E-05
bill poster,5,7.81555E-05
billiard proprietor,1,1.56311E-05
billiard saloon marker,1,1.56311E-05
billiard table maker,3,4.68933E-05
billiards marksman,1,1.56311E-05
biologist,1,1.56311E-05
biology school teacher,1,1.56311E-05
biology teacher,1,1.56311E-05
bioscope operator,1,1.56311E-05
biscuit baker,1,1.56311E-05
biscuit factory manager,1,1.56311E-05
biscuit factory worker,2,3.12622E-05
biscuit packer,1,1.56311E-05
biscuit sorter,1,1.56311E-05
bishop,2,3.12622E-05
bit maker,5,7.81555E-05
bitmaker,1,1.56311E-05
black & whitesmith,1,1.56311E-05
black pudding maker,1,1.56311E-05
blacking manufacturer,1,1.56311E-05
blacksmith,751,0.011738961
blacksmith (and gelder),1,1.56311E-05
blacksmith (colliery),3,4.68933E-05
blacksmith (dockyard ),2,3.12622E-05
blacksmith (foreman),1,1.56311E-05
blacksmith (in factory),1,1.56311E-05
blacksmith (in mine ),1,1.56311E-05
blacksmith (master),1,1.56311E-05
blacksmith & farrier,2,3.12622E-05
blacksmith and farrier,2,3.12622E-05
blacksmith and whitesmith,2,3.12622E-05
blacksmith at colliery,1,1.56311E-05
blacksmith at shale oil works,1,1.56311E-05
blacksmith master,1,1.56311E-05
blacksmith striker,2,3.12622E-05
"blacksmith, foreman",1,1.56311E-05
"blacksmith, mine",1,1.56311E-05
"blacksmith, r.n.",1,1.56311E-05
"blacksmith, railway",1,1.56311E-05
blacksmith's labourer,1,1.56311E-05
blacksmith's striker,1,1.56311E-05
