% Generated from source file: resources/original/tasmania_occupations.txt at 21:19 01/05/2014.
apprentice engine fitter	3.1262211801484954E-5
apprentice fitter and turner	1.5631105900742477E-5
apprentice grocer	1.5631105900742477E-5
apprentice hair dresser	1.5631105900742477E-5
apprentice hairdresser	1.5631105900742477E-5
apprentice in steelworks	1.5631105900742477E-5
apprentice lace maker	1.5631105900742477E-5
apprentice marine engineer	1.5631105900742477E-5
apprentice mechanic	1.5631105900742477E-5
apprentice milliner	1.5631105900742477E-5
apprentice pattern maker	3.1262211801484954E-5
apprentice pharmacist	3.1262211801484954E-5
apprentice printer	4.6893317702227434E-5
apprentice shopkeeper	1.5631105900742477E-5
apprentice tailor	3.1262211801484954E-5
apprentice watch maker	1.5631105900742477E-5
archbishop	1.5631105900742477E-5
archdeacon	1.5631105900742477E-5
architect	7.502930832356389E-4
architect, railway	1.5631105900742477E-5
architects assistant	6.252442360296991E-5
architectural modeller	1.5631105900742477E-5
armed forces	4.6893317702227434E-5
armour plate grinder	1.5631105900742477E-5
armourer	1.5631105900742477E-5
army	6.096131301289566E-4
army - hm forces	1.5631105900742477E-5
army agent	4.6893317702227434E-5
army bandsman	1.5631105900742477E-5
army boilermaker	1.5631105900742477E-5
army boot closer	1.5631105900742477E-5
army boot maker	4.6893317702227434E-5
army bugle major	1.5631105900742477E-5
army captain	2.032043767096522E-4
army captainarmy captain	1.5631105900742477E-5
army carpenter	3.1262211801484954E-5
army caterer	1.5631105900742477E-5
army clothier	1.5631105900742477E-5
army colonel	4.6893317702227434E-5
army corporal	1.2504884720593981E-4
army doctor	1.5631105900742477E-5
army driver	1.5631105900742477E-5
army engineer	3.1262211801484954E-5
army farrier	1.5631105900742477E-5
army general	1.5631105900742477E-5
army land service	1.5631105900742477E-5
army lieut. & brevet captain	1.5631105900742477E-5
army lieutenant	1.0941774130519735E-4
army major	3.1262211801484954E-5
army musician	3.1262211801484954E-5
army musician,	1.5631105900742477E-5
army officer	4.5330207112153183E-4
army officer (major), royal engineer	1.5631105900742477E-5
army officer, major	1.5631105900742477E-5
army oficer	1.5631105900742477E-5
army pay clerk	1.5631105900742477E-5
army pay corps clerk	1.5631105900742477E-5
army private	1.7194216490816724E-4
army ramc	1.5631105900742477E-5
army schoolmaster	1.5631105900742477E-5
army schoolmistress	1.5631105900742477E-5
army sergeant	2.188354826103947E-4
army sergeant (pharmacist)	1.5631105900742477E-5
army sergeant cook	1.5631105900742477E-5
army service	4.6893317702227434E-5
army service corp, sergeant	1.5631105900742477E-5
army sgt	1.5631105900742477E-5
army sgt major	1.5631105900742477E-5
army soldier	1.0941774130519735E-4
army storekeeper	1.5631105900742477E-5
army, a.e.c. major	1.5631105900742477E-5
army, bandsman	1.5631105900742477E-5
army, company quartermaster sergeant	1.5631105900742477E-5
army, musician	1.5631105900742477E-5
army, pioneer sergeant	1.5631105900742477E-5
army, regimental quartermaster	1.5631105900742477E-5
arsenal labourer	1.5631105900742477E-5
art  metal worker	3.1262211801484954E-5
art college principal	1.5631105900742477E-5
art dealer	4.6893317702227434E-5
art decorator (gilding etc)	1.5631105900742477E-5
art master	1.5631105900742477E-5
art metal manufacturer	1.5631105900742477E-5
art metal worker	1.5631105900742477E-5
art metalwork manufacturer	1.5631105900742477E-5
art teacher	6.252442360296991E-5
art teacher, head of department	1.5631105900742477E-5
art teacher, technical college	1.5631105900742477E-5
art weaver ( upholsterers trimmings)	1.5631105900742477E-5
artificer	3.1262211801484954E-5
artificial florist	4.6893317702227434E-5
artificial flower maker	1.5631105900742477E-5
artificial limb maker	6.252442360296991E-5
artilleryman (gunner)	1.5631105900742477E-5
artisan	3.1262211801484954E-5
artisan carpenter	1.5631105900742477E-5
artist	7.033997655334115E-4
artist (fabrics)	1.5631105900742477E-5
artist (on glass)	1.5631105900742477E-5
artist and calligrapher	1.5631105900742477E-5
artist and designer	3.1262211801484954E-5
artist and painter	1.5631105900742477E-5
artist, academic & writer	1.5631105900742477E-5
artist, teacher of painting	1.5631105900742477E-5
artists colourman	1.5631105900742477E-5
artisty	1.5631105900742477E-5
